IBR-Agüimes;;;;;;;;;;;
FECHA;HORA;SO2;NO;NO2;PM10;;;;;;
19/01/2008;12;8;15;13;13;;;;;;
19/01/2008;13;8;16;10;20;;;;;;
19/01/2008;14;8;14;8;20;;;;;;
19/01/2008;15;7;13;7;19;;;;;;
19/01/2008;16;8;13;9;26;;;;;;
19/01/2008;17;9;15;10;20;;;;;;
19/01/2008;18;9;15;14;32;;;;;;
19/01/2008;19;10;19;27;26;;;;;;
19/01/2008;20;10;20;27;26;;;;;;
19/01/2008;21;8;20;32;36;;;;;;
19/01/2008;22;8;17;15;29;;;;;;
19/01/2008;23;9;16;11;25;;;;;;
19/01/2008;24;7;16;9;23;;;;;;
20/01/2008;1;10;15;8;21;;;;;;
20/01/2008;2;10;14;8;22;;;;;;
20/01/2008;3;8;14;9;25;;;;;;
20/01/2008;4;9;15;11;26;;;;;;
20/01/2008;5;9;15;10;48;;;;;;
20/01/2008;6;9;15;9;44;;;;;;
20/01/2008;7;10;14;11;37;;;;;;
20/01/2008;8;7;13;10;38;;;;;;
20/01/2008;9;9;14;8;46;;;;;;
20/01/2008;10;10;13;9;58;;;;;;
20/01/2008;11;8;14;9;75;;;;;;
20/01/2008;12;8;13;9;86;;;;;;
20/01/2008;13;9;14;11;112;;;;;;
20/01/2008;14;9;15;13;145;;;;;;
20/01/2008;15;10;15;11;177;;;;;;
20/01/2008;16;9;15;10;282;;;;;;
20/01/2008;17;8;18;11;406;;;;;;
20/01/2008;18;8;20;14;498;;;;;;
20/01/2008;19;9;20;16;499;;;;;;
20/01/2008;20;8;20;15;499;;;;;;
20/01/2008;21;9;19;14;499;;;;;;
20/01/2008;22;9;19;18;499;;;;;;
20/01/2008;23;8;17;9;499;;;;;;
20/01/2008;24;7;15;12;494;;;;;;
21/01/2008;1;7;13;8;432;;;;;;
21/01/2008;2;7;13;6;356;;;;;;
21/01/2008;3;7;13;3;251;;;;;;
21/01/2008;4;7;12;4;271;;;;;;
21/01/2008;5;6;13;6;286;;;;;;
21/01/2008;6;8;15;8;274;;;;;;
21/01/2008;7;8;23;22;248;;;;;;
21/01/2008;8;8;27;38;198;;;;;;
21/01/2008;9;9;21;29;135;;;;;;
21/01/2008;10;9;10;10;89;;;;;;
21/01/2008;11;10;10;7;66;;;;;;
21/01/2008;12;10;12;11;67;;;;;;
21/01/2008;13;10;14;15;67;;;;;;
21/01/2008;14;9;14;13;74;;;;;;
21/01/2008;15;10;13;12;79;;;;;;
21/01/2008;16;8;12;10;70;;;;;;
21/01/2008;17;10;16;14;64;;;;;;
21/01/2008;18;8;15;10;61;;;;;;
21/01/2008;19;10;16;19;62;;;;;;
21/01/2008;20;10;16;13;96;;;;;;
21/01/2008;21;10;16;11;101;;;;;;
21/01/2008;22;10;17;14;76;;;;;;
21/01/2008;23;8;14;8;73;;;;;;
21/01/2008;24;9;12;7;67;;;;;;
22/01/2008;1;9;10;5;60;;;;;;
22/01/2008;2;9;9;4;57;;;;;;
22/01/2008;3;8;7;3;66;;;;;;
22/01/2008;4;8;6;4;79;;;;;;
22/01/2008;5;9;5;3;59;;;;;;
22/01/2008;6;10;5;3;45;;;;;;
22/01/2008;7;9;6;13;47;;;;;;
22/01/2008;8;8;13;28;29;;;;;;
22/01/2008;9;9;12;21;36;;;;;;
22/01/2008;10;10;10;16;33;;;;;;
22/01/2008;11;10;9;9;26;;;;;;
22/01/2008;12;8;11;10;17;;;;;;
22/01/2008;13;9;12;14;22;;;;;;
22/01/2008;14;9;12;14;14;;;;;;
22/01/2008;15;8;13;14;12;;;;;;
22/01/2008;16;8;14;15;12;;;;;;
22/01/2008;17;9;19;23;15;;;;;;
22/01/2008;18;8;18;19;10;;;;;;
22/01/2008;19;9;21;23;13;;;;;;
22/01/2008;20;10;17;23;22;;;;;;
22/01/2008;21;11;19;29;22;;;;;;
22/01/2008;22;9;21;21;19;;;;;;
22/01/2008;23;8;18;14;18;;;;;;
22/01/2008;24;8;19;10;14;;;;;;
23/01/2008;1;9;17;6;17;;;;;;
23/01/2008;2;9;16;4;30;;;;;;
23/01/2008;3;9;13;6;53;;;;;;
23/01/2008;4;8;10;6;38;;;;;;
23/01/2008;5;7;9;4;23;;;;;;
23/01/2008;6;8;8;6;26;;;;;;
23/01/2008;7;8;8;8;30;;;;;;
23/01/2008;8;9;19;29;26;;;;;;
23/01/2008;9;9;37;44;62;;;;;;
23/01/2008;10;11;26;27;48;;;;;;
23/01/2008;11;12;12;10;24;;;;;;
23/01/2008;12;10;12;5;19;;;;;;
23/01/2008;13;9;11;4;23;;;;;;
23/01/2008;14;9;12;8;17;;;;;;
23/01/2008;15;8;14;6;17;;;;;;
23/01/2008;16;8;10;7;28;;;;;;
23/01/2008;17;8;11;11;27;;;;;;
23/01/2008;18;8;10;18;35;;;;;;
23/01/2008;19;9;11;24;23;;;;;;
23/01/2008;20;11;11;31;68;;;;;;
23/01/2008;21;9;16;25;16;;;;;;
23/01/2008;22;9;17;16;27;;;;;;
23/01/2008;23;9;18;14;23;;;;;;
23/01/2008;24;8;16;26;71;;;;;;
24/01/2008;1;12;13;17;15;;;;;;
24/01/2008;2;13;14;5;10;;;;;;
24/01/2008;3;11;14;5;21;;;;;;
24/01/2008;4;11;13;4;15;;;;;;
24/01/2008;5;10;12;5;15;;;;;;
24/01/2008;6;10;11;5;27;;;;;;
24/01/2008;7;10;9;8;41;;;;;;
24/01/2008;8;10;20;31;36;;;;;;
24/01/2008;9;9;34;45;24;;;;;;
24/01/2008;10;10;36;41;39;;;;;;
24/01/2008;11;10;21;25;14;;;;;;
24/01/2008;12;12;20;25;16;;;;;;
24/01/2008;13;10;21;19;9;;;;;;
24/01/2008;14;11;24;23;13;;;;;;
24/01/2008;15;16;20;23;19;;;;;;
24/01/2008;16;12;19;20;9;;;;;;
24/01/2008;17;10;14;16;55;;;;;;
24/01/2008;18;8;8;9;81;;;;;;
24/01/2008;19;10;8;14;44;;;;;;
24/01/2008;20;10;8;15;40;;;;;;
24/01/2008;21;10;8;11;12;;;;;;
24/01/2008;22;11;14;17;6;;;;;;
24/01/2008;23;12;14;13;7;;;;;;
24/01/2008;24;10;29;26;15;;;;;;
25/01/2008;1;11;34;31;11;;;;;;
25/01/2008;2;13;17;9;16;;;;;;
25/01/2008;3;9;14;7;42;;;;;;
25/01/2008;4;8;10;8;19;;;;;;
25/01/2008;5;9;14;3;5;;;;;;
25/01/2008;6;10;13;8;13;;;;;;
25/01/2008;7;10;16;9;16;;;;;;
25/01/2008;8;10;30;33;36;;;;;;
25/01/2008;9;10;34;46;31;;;;;;
25/01/2008;10;12;21;31;38;;;;;;
25/01/2008;11;12;16;14;10;;;;;;
25/01/2008;12;11;21;17;14;;;;;;
25/01/2008;13;12;23;17;12;;;;;;
25/01/2008;14;11;23;19;15;;;;;;
25/01/2008;15;10;17;10;15;;;;;;
25/01/2008;16;10;18;11;25;;;;;;
25/01/2008;17;9;14;13;49;;;;;;
25/01/2008;18;9;15;22;23;;;;;;
25/01/2008;19;10;25;42;33;;;;;;
